tid,tname,tyear
002,Desert Classic,2019
003,Waste Management Phoenix Open,2019
004,Farmers Insurance Open,2019
005,AT&T Pebble Beach Pro-Am,2019
006,Sony Open in Hawaii,2019
007,Genesis Open,2019
009,Arnold Palmer Invitational presented by Mastercard,2019
010,The Honda Classic,2019
011,THE PLAYERS Championship,2019
012,RBC Heritage,2018
013,Wyndham Championship,2018
014,The Masters,2018
016,Sentry Tournament of Champions,2019
018,Zurich Classic of New Orleans,2018
019,AT&T Byron Nelson,2018
020,Houston Open,2018
021,Fort Worth Invitational,2018
023,the Memorial Tournament presented by Nationwide,2018
025,FedEx St. Jude Classic,2018
026,U.S. Open,2018
027,THE NORTHERN TRUST,2018
028,BMW Championship,2018
030,John Deere Classic,2018
032,RBC Canadian Open,2018
033,PGA Championship,2018
034,Travelers Championship,2018
041,Valero Texas Open,2019
047,Shriners Hospitals for Children Open,2019
054,Sanderson Farms Championship,2019
058,QBE Shootout,2019
060,TOUR Championship,2018
100,The Open Championship,2018
169,ISPS HANDA World Cup of Golf,2019
457,Mayakoba Golf Classic,2019
464,Safeway Open,2019
471,Quicken Loans National,2018
472,Barracuda Championship,2018
473,World Golf Championships-Mexico Championship,2019
475,Valspar Championship,2019
476,World Golf Championships-Bridgestone Invitational,2018
478,Hero World Challenge,2019
480,Wells Fargo Championship,2018
483,Puerto Rico Open,2019
489,World Golf Championships-HSBC Champions,2019
490,A Military Tribute at The Greenbrier,2018
493,The RSM Classic,2019
494,CIMB Classic,2019
500,Presidents Cup,2017
505,Dell Technologies Championship,2018
518,Barbasol Championship,2018
519,Olympic Men's Golf Competition,2016
521,The CJ CUP,2019
522,Corales Puntacana Resort & Club Championship,2019
526,Tiger vs. Phil,2019
650,Olympic Women's Golf Competition,2016
